"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MF";"MOUSER";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"A";"TACTILEGBA_SP";"TACTILEGBA_SP";"GBA_SP_TACT";"";"";"ALPS";"";"SKRRAAE010";"";"";"";
"B";"TACTILEGBA_SP";"TACTILEGBA_SP";"GBA_SP_TACT";"";"";"ALPS";"688-SKRRAA";"SKRRAAE010";"";"";"";
"BATT";"DNP";"HEADER-1X2";"HEADER-1X2";"";"";"";"";"";"";"";"";
"BLUE";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"160-1827-1-ND";"Lite-On";"";"LTST-C193TBKT-5A";"";"";"";
"BRIGHTNESS";"TACTILE";"TACTILE";"TL3315";"";"EG4621CT-ND";"E-switch";"";"TL3315NF160Q";"";"";"";
"C1";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"587-5464-1-ND";"Taiyo Yuden";"";"LMK212BBJ226MG-T";"";"";"";
"C2";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C3";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"587-5464-1-ND";"Taiyo Yuden";"";"LMK212BBJ226MG-T";"";"";"";
"C4";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"587-5464-1-ND";"Taiyo Yuden";"";"LMK212BBJ226MG-T";"";"";"";
"C5";"22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"587-5464-1-ND";"Taiyo Yuden";"";"LMK212BBJ226MG-T";"";"";"";
"C6";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C7";"10nF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"490-4516-1-ND";"Murata";"";"GRM155R71H103KA88D";"";"";"";
"C8";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"311-1455-1-ND";"Yageo";"";"CC0603KRX5R6BB475";"";"";"";
"C9";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"311-1455-1-ND";"Yageo";"";"CC0603KRX5R6BB475";"";"";"";
"C10";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"311-1455-1-ND";"Yageo";"";"CC0603KRX5R6BB475";"";"";"";
"C11";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C12";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"311-1455-1-ND";"Yageo";"";"CC0603KRX5R6BB475";"";"";"";
"C13";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"490-4516-1-ND";"Murata";"";"GRM155R71H103KA88D";"";"";"";
"C14";"0.1uF";"C-EU0402_REAL";"0402_REAL";"CAPACITOR, European symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C15";"47uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"490-9961-1-ND";"Murata";"";"GRM21BR61A476ME15L";"";"";"";
"C16";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C17";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C18";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C19";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"1276-6504-1-ND";"Samsung";"";"CL10A226MPCNUBE";"";"";"";
"C20";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"1276-6504-1-ND";"Samsung";"";"CL10A226MPCNUBE";"";"";"";
"C21";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"1276-6504-1-ND";"Samsung";"";"CL10A226MPCNUBE";"";"";"";
"C22";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C23";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"1276-6504-1-ND";"Samsung";"";"CL10A226MPCNUBE";"";"";"";
"C24";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C25";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C26";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"1276-6504-1-ND";"Samsung";"";"CL10A226MPCNUBE";"";"";"";
"C27";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"1276-6504-1-ND";"Samsung";"";"CL10A226MPCNUBE";"";"";"";
"C28";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C29";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C30";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C31";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C32";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C33";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C34";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C35";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C36";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C37";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C38";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C39";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C40";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C41";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C42";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C43";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C44";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C45";"33pF";"C-EU0402_REAL";"0402_REAL";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C46";"33pF";"C-EU0402_REAL";"0402_REAL";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C47";"0.1uF";"C-EU0402_REAL";"0402_REAL";"CAPACITOR, European symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C48";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"311-1455-1-ND";"Yageo";"";"CC0603KRX5R6BB475";"";"";"";
"C49";"0.1uF";"C-EU0402_REAL";"0402_REAL";"CAPACITOR, European symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C50";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C51";"DNP";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"490-9961-1-ND";"Murata";"";"GRM21BR61A476ME15L";"";"";"";
"C52";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C53";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"1276-6504-1-ND";"Samsung";"";"CL10A226MPCNUBE";"";"";"";
"C54";"22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"1276-6504-1-ND";"Samsung";"";"CL10A226MPCNUBE";"";"";"";
"C55";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C58";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"311-1455-1-ND";"Yageo";"";"CC0603KRX5R6BB475";"";"";"";
"C59";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C60";"0.1uF";"C-US0402_REAL";"0402_REAL";"CAPACITOR, American symbol";"311-1343-1-ND";"Yageo";"";"CC0603ZRY5V9BB104";"";"";"";
"C61";"6.8pF";"C-EU0402_REAL";"0402_REAL";"CAPACITOR, European symbol";"311-1637-1-ND";"Yageo";"";"CC0402DRNPO9BN6R8";"";"";"";
"C62";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"311-1455-1-ND";"Yageo";"";"CC0603KRX5R6BB475";"";"";"";
"C63";"1uF";"C-EU0402_REAL";"0402_REAL";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"D1";"BAS70-05";"BAS70-05";"SOT23";"Silicon Schottky Diodes";"BAS70-05-E3-08CT-ND";"Vishay";"";"BAS70-05-E3-08";"";"";"";
"D2";"BAS70-05";"BAS70-05";"SOT23";"Silicon Schottky Diodes";"BAS70-05-E3-08CT-ND";"Vishay";"";"BAS70-05-E3-08";"";"";"";
"DOWN";"TACTILEGBA_SP";"TACTILEGBA_SP";"GBA_SP_TACT";"";"";"ALPS";"";"SKRRAAE010";"";"";"";
"FAN";"DNP";"HEADER-1X2";"HEADER-1X2";"";"";"";"";"";"";"";"";
"FER";"0";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"GREEN";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"160-1446-1-ND";"Lite-On";"";"LTST-C191KGKT";"";"";"";
